Desc	Family ID	AspNid	ConCor	SacCer	ggMorZona1	ggMucLanc1	ggRhiOryz1	gzAbsCyli1	gzAbsGlau1	gzCunBlak1	gzCunEchi1	gzLicCory1	gzLinHyal1	gzMorAlpi1	gzMucCirc1	gzMucCirc2	gzMucFrag1	gzMucHiem1	gzMucPlum2	gzPodHuml1	gzRhiMicr1	gzRhiStol1	gzUmbIsab1	gzUmbRama1	gzUmbVina1
(null)	N0.HOG0000075	1	2	0	2	2	3	4	4	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2
(null)	N0.HOG0000076	1	1	3	3	8	12	11	8	5	5	7	3	2	8	8	8	7	8	3	8	8	1	1	1
(null)	N0.HOG0000077	7	0	0	19	3	5	7	12	9	9	10	20	18	4	4	5	7	5	20	5	3	3	3	3
(null)	N0.HOG0000078	2	17	0	5	2	4	4	3	2	2	11	6	5	3	2	2	2	2	5	2	3	3	4	2
(null)	N0.HOG0000079	0	0	0	0	1	3	1	1	1	1	2	0	0	2	1	2	2	2	0	2	3	1	1	1
(null)	N0.HOG0000080	3	0	0	0	1	1	3	3	1	0	2	0	0	1	1	1	0	1	0	1	1	2	2	4
(null)	N0.HOG0000081	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
(null)	N0.HOG0000082	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
(null)	N0.HOG0000083	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000084	1	0	0	40	0	0	0	0	0	0	0	39	24	0	0	0	0	0	20	0	0	0	0	0
(null)	N0.HOG0000085	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2
(null)	N0.HOG0000086	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(null)	N0.HOG0000087	0	0	0	8	0	0	0	0	0	0	0	7	12	0	0	0	0	0	12	0	0	0	0	0
(null)	N0.HOG0000088	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000089	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
(null)	N0.HOG0000090	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
