Orthogroup	Duplications (all)	Duplications (50% support)
OG0001049	6	4
OG0001050	7	5
OG0001051	3	3
OG0001052	4	4
OG0001053	8	7
OG0001054	13	12
OG0001055	8	5
OG0001056	28	21
OG0001057	11	10
OG0001058	8	7
OG0001059	5	4
OG0001060	9	7
OG0001061	6	6
OG0001062	6	5
OG0001063	11	9
OG0001064	21	13
OG0001065	9	6
OG0001066	16	6
OG0001067	18	15
OG0001068	6	6
OG0001069	9	9
OG0001070	5	4
OG0001071	5	4
OG0001072	6	4
OG0001073	12	10
OG0001074	11	9
OG0001075	7	5
OG0001076	6	5
OG0001077	5	5
OG0001078	9	9
OG0001079	6	4
OG0001080	3	2
OG0001081	4	4
OG0001082	7	7
OG0001083	2	2
OG0001084	23	20
OG0001085	17	17
OG0001086	11	10
OG0001087	5	5
OG0001088	10	5
OG0001089	5	5
OG0001090	7	5
OG0001091	8	5
OG0001092	6	6
OG0001093	9	8
OG0001094	13	11
OG0001095	5	5
OG0001096	6	3
OG0001097	6	4
OG0001098	23	13
OG0001099	7	5
OG0001100	8	5
OG0001101	8	7
OG0001102	5	3
OG0001103	7	6
OG0001104	18	18
OG0001105	6	6
OG0001106	3	3
OG0001107	4	3
OG0001108	29	29
OG0001109	10	8
OG0001110	32	30
OG0001111	4	3
OG0001112	11	10
OG0001113	7	6
OG0001114	5	5
OG0001115	2	1
OG0001116	6	5
OG0001117	13	12
OG0001118	9	7
OG0001119	14	14
OG0001120	4	3
OG0001121	3	3
OG0001122	7	4
OG0001123	21	18
OG0001124	6	5
OG0001125	8	6
OG0001126	6	6
OG0001127	2	2
OG0001128	6	6
OG0001129	4	3
OG0001130	4	4
OG0001131	7	4
OG0001132	6	3
OG0001133	6	5
OG0001134	4	1
OG0001135	4	4
OG0001136	4	4
OG0001137	3	3
OG0001138	7	6
OG0001139	3	3
OG0001140	5	5
OG0001141	2	1
OG0001142	7	7
OG0001143	6	5
OG0001144	6	5
OG0001145	10	9
OG0001146	8	8
OG0001147	3	2
OG0001148	6	5
OG0001149	14	13
OG0001150	4	4
OG0001151	6	3
OG0001152	6	6
OG0001153	6	6
OG0001154	5	5
OG0001155	3	3
OG0001156	3	3
OG0001157	5	5
OG0001158	7	7
OG0001159	41	41
